9223372032559842759,kandinsky,100,100,0.99,0.04447,#FFBF7F,#00003F,#7F7F3F,#FFFFBF,#BF7F3F,#FFBFBF,#BFBF7F,#7F3F00,#BF7F7F,#3F003F
326981,kandinsky,100,100,0.99,0.21711,#FFFFFF,#7F3F00,#7F7F7F,#BFBFBF,#003F00,#FFFF00,#7F7F00,#3F7FBF,#FFFFBF,#3F3F00
326964,kandinsky,100,100,0.99,0.24566,#7F7FBF,#BF3F00,#FFFFFF,#00003F,#3F3F7F,#BF7F7F,#FFFF3F,#003FBF,#00003F,#7F3F00
326979,kandinsky,100,100,0.99,16.5,#BF7F00,#3F3F3F,#FFFFFF,#3F3F00,#7F7F3F,#BFBFBF,#FFBF00,#7F3F3F,#BFBF3F,#BFBF7F
189369,kandinsky,100,100,0.99,0.03012,#000000,#7F7F3F,#3F3F3F,#FFBF7F,#FF7F3F,#003F3F,#7F7F3F,#BF7F00,#7F3F00,#3F3F3F
326978,kandinsky,100,100,0.99,0.03842,#BF7F00,#3F3F00,#FFFFBF,#7F7F3F,#FFBF7F,#FFBF00,#7F3F00,#003F3F,#3F3F00,#003F3F
326982,kandinsky,100,100,0.99,0.1375,#BF7F3F,#FFFFFF,#000000,#FF3F00,#FFFFBF,#3F3F00,#FF7F00,#BF7F3F,#7F3F00,#7F0000
189372,kandinsky,100,100,1.0,0.0819,#BFFFFF,#3F0000,#FF7F3F,#BFBF3F,#FFBF3F,#3F3F3F,#FFFFFF,#7F7F3F,#FFFFBF,#000000
326983,kandinsky,100,100,0.99,0.0342,#FFFFFF,#000000,#003F3F,#7F7F00,#3F7F7F,#3F3F00,#BFBFBF,#3F7F00,#BFBF00,#3F3F7F
189273,kandinsky,100,100,0.99,0.76744,#7F7F3F,#3F3F3F,#7F7F3F,#BFFF3F,#7FBF00,#3F3F00,#7F3F00,#BFBF00,#3F3F00,#7F7F7F
189304,kandinsky,100,100,0.99,49.5,#3F0000,#BFBF7F,#7F7F3F,#7F7F7F,#BFBF3F,#3F3F3F,#3F3F00,#FFFFFF,#BFBFBF,#7F3F00
189308,kandinsky,100,100,0.99,0.06346,#FFBF00,#3F7F00,#000000,#7F7F3F,#BFBF3F,#3F3F00,#BF7F00,#7F7F3F,#FFFFBF,#7F3F00
189312,kandinsky,100,100,0.99,0.56897,#3F0000,#BF7F3F,#7F3F00,#BFBFBF,#7F3F3F,#FF7F00,#3F3F3F,#BF3F00,#FFBF7F,#3F3F3F
189422,kandinsky,100,100,1.0,0.02417,#7F7FBF,#00003F,#FFFFFF,#7FBFBF,#3F3F3F,#3F3F7F,#3F003F,#7F7F7F,#FFBFBF,#BFBFFF
326965,kandinsky,100,100,0.99,0.53804,#3F7FBF,#003F3F,#FFBFBF,#7FBFBF,#7F7FBF,#FFFFFF,#3F7F7F,#7F7F7F,#003F00,#3F7F3F
189254,kandinsky,100,100,1.0,0.05056,#7F7F3F,#FFFFFF,#3F0000,#BFBF7F,#BF7F3F,#3F3F3F,#3F3F00,#FFBF3F,#7F3F00,#3F3F00
189341,kandinsky,100,100,0.99,0.03102,#3F003F,#FFFFFF,#3F3F7F,#00003F,#7F3F00,#FFFF7F,#7F3F00,#BF7F3F,#7F7FBF,#3F003F
189311,kandinsky,100,100,0.99,0.03497,#7F3F00,#FFBFBF,#3F3F00,#BFBF7F,#3F003F,#3F003F,#7F7F7F,#FFFFBF,#BFBFBF,#FFBF7F
189386,kandinsky,100,100,1.0,1.26582,#BFBF7F,#003F00,#FFFFFF,#3F7FFF,#BF3F00,#7F7F7F,#FFFFBF,#3F7F7F,#BFBFFF,#3F7FBF
189387,kandinsky,100,100,0.99,0.39442,#7F7FBF,#3F3F00,#BFFFFF,#3F3F7F,#7F7F7F,#BFBFBF,#000000,#3F7FBF,#7FBFBF,#3F3FBF
189293,kandinsky,100,100,1.0,0.08292,#FFFFFF,#3F3F3F,#7FBFBF,#3F003F,#3F7F7F,#000000,#7F7F7F,#7F3F3F,#BFBFBF,#3F3F7F
189380,kandinsky,100,100,0.99,0.03183,#3F0000,#BFBFBF,#3F3F3F,#7F7F7F,#00003F,#BFBF7F,#FFFFFF,#3F3F00,#FFBFBF,#7F7F3F
189381,kandinsky,100,100,0.99,6.1875,#BF3F3F,#FFFFFF,#3F3F3F,#BFBF7F,#FFFF7F,#7F3F3F,#FFBF3F,#FFFFBF,#7F7F7F,#00003F
189392,kandinsky,100,100,0.99,0.31935,#BFBF7F,#3F3F00,#BFBFBF,#7F7F7F,#000000,#BF7F7F,#7F3F00,#FFFFBF,#7F7F3F,#7F3F3F
189435,kandinsky,100,100,0.99,0.07432,#003F3F,#3F3F7F,#3F3F3F,#7F7F7F,#FFBFBF,#00003F,#3F003F,#7F3F3F,#7F7F3F,#7F7FBF
189279,kandinsky,100,100,0.99,0.07965,#7F3F00,#3F0000,#BFBFBF,#3F3F3F,#7F7F7F,#3F003F,#7F3F3F,#3F3F3F,#BFBF00,#3F3F3F
